1,1,1
2,2,3
3,3,6
4,4,10
5,5,15
6,6,21
7,7,28
8,2,30
9,4,34
10,6,40
11,8,48
12,10,58
13,12,70
14,14,84
15,3,87
16,6,93
17,9,102
18,12,114
19,15,129
20,18,147
21,21,168
22,4,172
23,8,180
24,12,192
25,16,208
26,20,228
27,24,252
28,28,280
29,5,285
30,10,295
31,15,310
32,20,330
33,25,355
34,30,385
35,35,420
36,6,426
37,12,438
38,18,456
39,24,480
40,30,510
41,36,546
42,42,588
43,7,595
44,14,609
45,21,630
46,28,658
47,35,693
48,42,735
49,49,784
50,2,786
51,4,790
52,6,796
53,8,804
54,10,814
55,12,826
56,14,840
57,4,844
58,8,852
59,12,864
60,16,880
61,20,900
62,24,924
63,28,952
64,6,958
65,12,970
66,18,988
67,24,1012
68,30,1042
69,36,1078
70,42,1120
71,8,1128
72,16,1144
73,24,1168
74,32,1200
75,40,1240
76,48,1288
77,56,1344
78,10,1354
79,20,1374
80,30,1404
81,40,1444
82,50,1494
83,60,1554
84,70,1624
85,12,1636
86,24,1660
87,36,1696
88,48,1744
89,60,1804
90,72,1876
91,84,1960
92,14,1974
93,28,2002
94,42,2044
95,56,2100
96,70,2170
97,84,2254
98,98,2352
99,3,2355
100,6,2361
101,9,2370
102,12,2382
103,15,2397
104,18,2415
105,21,2436
106,6,2442
107,12,2454
108,18,2472
109,24,2496
110,30,2526
111,36,2562
112,42,2604
113,9,2613
114,18,2631
115,27,2658
116,36,2694
117,45,2739
118,54,2793
119,63,2856
120,12,2868
121,24,2892
122,36,2928
123,48,2976
124,60,3036
125,72,3108
126,84,3192
127,15,3207
128,30,3237
129,45,3282
130,60,3342
131,75,3417
132,90,3507
133,105,3612
134,18,3630
135,36,3666
136,54,3720
137,72,3792
138,90,3882
139,108,3990
140,126,4116
141,21,4137
142,42,4179
143,63,4242
144,84,4326
145,105,4431
146,126,4557
147,147,4704
148,4,4708
149,8,4716
150,12,4728
151,16,4744
152,20,4764
153,24,4788
154,28,4816
155,8,4824
156,16,4840
157,24,4864
158,32,4896
159,40,4936
160,48,4984
161,56,5040
162,12,5052
163,24,5076
164,36,5112
165,48,5160
166,60,5220
167,72,5292
168,84,5376
169,16,5392
170,32,5424
171,48,5472
172,64,5536
173,80,5616
174,96,5712
175,112,5824
176,20,5844
177,40,5884
178,60,5944
179,80,6024
180,100,6124
181,120,6244
182,140,6384
183,24,6408
184,48,6456
185,72,6528
186,96,6624
187,120,6744
188,144,6888
189,168,7056
190,28,7084
191,56,7140
192,84,7224
193,112,7336
194,140,7476
195,168,7644
196,196,7840
197,5,7845
198,10,7855
199,15,7870
200,20,7890
201,25,7915
202,30,7945
203,35,7980
204,10,7990
205,20,8010
206,30,8040
207,40,8080
208,50,8130
209,60,8190
210,70,8260
211,15,8275
212,30,8305
213,45,8350
214,60,8410
215,75,8485
216,90,8575
217,105,8680
218,20,8700
219,40,8740
220,60,8800
221,80,8880
222,100,8980
223,120,9100
224,140,9240
225,25,9265
226,50,9315
227,75,9390
228,100,9490
229,125,9615
230,150,9765
231,175,9940
232,30,9970
233,60,10030
234,90,10120
235,120,10240
236,150,10390
237,180,10570
238,210,10780
239,35,10815
240,70,10885
241,105,10990
242,140,11130
243,175,11305
244,210,11515
245,245,11760
246,6,11766
247,12,11778
248,18,11796
249,24,11820
250,30,11850
251,36,11886
252,42,11928
253,12,11940
254,24,11964
255,36,12000
256,48,12048
257,60,12108
258,72,12180
259,84,12264
260,18,12282
261,36,12318
262,54,12372
263,72,12444
264,90,12534
265,108,12642
266,126,12768
267,24,12792
268,48,12840
269,72,12912
270,96,13008
271,120,13128
272,144,13272
273,168,13440
274,30,13470
275,60,13530
276,90,13620
277,120,13740
278,150,13890
279,180,14070
280,210,14280
281,36,14316
282,72,14388
283,108,14496
284,144,14640
285,180,14820
286,216,15036
287,252,15288
288,42,15330
289,84,15414
290,126,15540
291,168,15708
292,210,15918
293,252,16170
294,294,16464
295,7,16471
296,14,16485
297,21,16506
298,28,16534
299,35,16569
300,42,16611
301,49,16660
302,14,16674
303,28,16702
304,42,16744
305,56,16800
306,70,16870
307,84,16954
308,98,17052
309,21,17073
310,42,17115
311,63,17178
312,84,17262
313,105,17367
314,126,17493
315,147,17640
316,28,17668
317,56,17724
318,84,17808
319,112,17920
320,140,18060
321,168,18228
322,196,18424
323,35,18459
324,70,18529
325,105,18634
326,140,18774
327,175,18949
328,210,19159
329,245,19404
330,42,19446
331,84,19530
332,126,19656
333,168,19824
334,210,20034
335,252,20286
336,294,20580
337,49,20629
338,98,20727
339,147,20874
340,196,21070
341,245,21315
342,294,21609
343,343,21952
344,2,21954
345,4,21958
346,6,21964
347,8,21972
348,10,21982
349,12,21994
