p = 7 :: 6   999999
p = 11 :: 4   9999
p = 13 :: 6   999999
p = 17 :: 16   9999999999999999
p = 19 :: 18   999999999999999999
p = 23 :: 22   9999999999999999999999
p = 29 :: 28   9999999999999999999999999999
p = 31 :: 105   999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999
p = 37 :: 6   999999
p = 41 :: 5   99999
p = 43 :: 84   999999999999999999999999999999999999999999999999999999999999999999999999999999999999
p = 47 :: 46   9999999999999999999999999999999999999999999999
p = 53 :: 39   999999999999999999999999999999999999999
p = 59 :: 522   999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999
p = 61 :: 120   999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999
p = 67 :: 66   999999999999999999999999999999999999999999999999999999999999999999
p = 71 :: 105   999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999
p = 73 :: 16   9999999999999999
p = 79 :: 13   9999999999999
p = 83 :: 41   99999999999999999999999999999999999999999
p = 89 :: 44   99999999999999999999999999999999999999999999
p = 97 :: 576   999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999
p = 101 :: 12   999999999999
p = 103 :: 68   99999999999999999999999999999999999999999999999999999999999999999999
p = 107 :: 212   99999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999
p = 109 :: 108   999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999
p = 113 :: 224   99999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999
p = 127 :: 42   999999999999999999999999999999999999999999
p = 131 :: 260   99999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999
p = 137 :: 16   9999999999999999
p = 139 :: 184   9999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999
p = 149 :: 740   99999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999
p = 151 :: 75   999999999999999999999999999999999999999999999999999999999999999999999999999
p = 157 :: 78   999999999999999999999999999999999999999999999999999999999999999999999999999999
p = 163 :: 81   999999999999999999999999999999999999999999999999999999999999999999999999999999999
p = 167 :: 498   999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999
p = 173 :: 86   99999999999999999999999999999999999999999999999999999999999999999999999999999999999999
p = 179 :: 356   99999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999
p = 181 :: 180   999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999
p = 191 :: 380   99999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999
